GEM plant ID,Plant name (English),Owner,Parent (English),Country/area,Region,Subnational unit,Latitude,Longitude,Coordinate accuracy,Plant status,Number of units,Plant age (years),Nominal crude steel capacity (ttpa),Nominal iron capacity (ttpa),Ferronickel capacity (ttpa),Sinter plant capacity (ttpa),Coking plant capacity (ttpa),Pelletizing plant capacity (ttpa),Main production equipment,Workforce size,GEM wiki page
P100000120483,British Steel Scunthorpe plant,British Steel Ltd,Jingye Steel (Uk) Holding Ltd,United Kingdom,Europe,England,53.580827,-0.616509,exact,operating pre-retirement,3,162.0,4500.0,3000.0,,,,,EAF; BF; BOF,3000,https://www.gem.wiki/British_Steel_Scunthorpe_plant
P100000121223,British Steel Teesside plant,British Steel Ltd,Jingye Steel (Uk) Holding Ltd,United Kingdom,Europe,England,54.589435,-1.133055,exact,cancelled,1,,0.0,0.0,,,,,EAF,unknown,https://www.gem.wiki/British_Steel_Teesside_plant
P100000120022,BSRM Ltd Mirsarai steel plant,Bangladesh Steel Re-Rolling Mills Ltd,Bangladesh Steel Re-Rolling Mills Ltd [100.0%],Bangladesh,Asia Pacific,Chattogram,22.870631,91.545862,exact,operating,1,9.72,1150.0,0.0,,,,,IF,1250,https://www.gem.wiki/BSRM_Ltd_Mirsarai_steel_plant
P100000120021,BSRM Steels Mirsarai plant,BSRM Steels Ltd,BSRM Steels Ltd [100.0%],Bangladesh,Asia Pacific,Chattogram,22.873774,91.545562,exact,operating,1,7.0,770.0,0.0,,,,,IF,1250,https://www.gem.wiki/BSRM_Steels_Mirsarai_plant
P100000120592,Butia Iranian Steel Kerman plant,Butia Iranian Steel Co,Mabna Khavar Miyaneh Co; Pars Aryan Investment Co; Pasargad Arzesh Afarinan Co; Rahbord Sarmaye Iranian Co; small shareholder(s); Tejarat Pishegan Mihan Negar Pars Co,Iran,Middle East,Kerman,30.4912,56.8214,exact,operating,1,15.0,1500.0,2000.0,,,,2500.0,DRI; EAF,700,https://www.gem.wiki/Butia_Iranian_Steel_Kerman_plant
P100000120056,Byelorussian Steel Works,BMZ-Upravlyayushchaya Kompaniya Kholdinga BMK JSC,BMZ-Upravlyayushchaya Kompaniya Kholdinga BMK JSC [100.0%],Belarus,Europe,Gomel Region,52.849321,29.988985,exact,operating,1,42.0,3000.0,0.0,,,,,EAF,11789,https://www.gem.wiki/Byelorussian_Steel_Works
P100001047724,Cag Celik steel plant,Çağ Çelik Iron and Steel Inc,Çağ Çelik Iron and Steel Inc [100.0%],Türkiye,Europe,Karabük,41.23542,32.645679,exact,announced,1,,0.0,0.0,,,,,EAF,350,https://www.gem.wiki/Cag_Celik_steel_plant
P100000121154,Cambodia Iron and Steel Preah Vihear Plant,Cambodia Iron & Steel Mining Industry Group Co Ltd,Cambodia Iron & Steel Mining Industry Group Co Ltd [100.0%],Cambodia,Asia Pacific,Preah Vihear,13.366642,105.118129,exact,cancelled,1,,0.0,0.0,,,,,BF; BOF,unknown,https://www.gem.wiki/Cambodia_Iron_and_Steel_Preah_Vihear_Plant
P100000120125,Cangzhou China Railway Equipment Manufacture Material Co Ltd,Cangzhou China Railway Equipment Manufacturing Materials Co Ltd,China Railway Materials Group Holdings Ltd [49.0%]; Shuangyao Investment Co Ltd [25.0%]; Hebei Xinhua United Metallurgical Holding Group Co Ltd [15.6%]; Sinogiant Steel HOLDINGS Group Ltd [9.4%]; unknown [1.0%],China,Asia Pacific,Hebei,38.289221,117.814367,exact,operating,1,20.0,7500.0,7100.0,,5775.0,988.0,,BF; BOF,10100,https://www.gem.wiki/Cangzhou_China_Railway_Equipment_Manufacture_Material_Co_Ltd
P100000120385,Cangzhou Lingang Sanling Metal Co Ltd,Cangzhou Lingang Sanling Metal Co Ltd,Cangzhou Lingang Sanling Metal Co Ltd [100.0%],China,Asia Pacific,Hebei,38.311738,117.457779,exact,operating,2,31.0,1000.0,0.0,,,,,EAF,240,https://www.gem.wiki/Cangzhou_Lingang_Sanling_Metal_Co_Ltd
P100000120066,CAP Acero Huachipato steel plant,Compania Siderurgica Huachipato SA,CAP SA [100.0%],Chile,Central & South America,Concepción,-36.746421,-73.129171,exact,retired,1,74.71,0.0,0.0,,,500.0,,BF; BOF,1193,https://www.gem.wiki/CAP_Acero_Huachipato_steel_plant
P100001082544,Captain Steel Debipur steel plant,Captain Steel India Ltd,Captain Steel India Ltd [100.0%],India,Asia Pacific,West Bengal,23.782149607591688,86.83591234561024,exact,operating,2,4.0,208.0,0.0,,,,,IF,1000,https://www.gem.wiki/Captain_Steel_Debipur_steel_plant
P100001023577,Captain Steel Garbeta steel plant,Captain Steel India Ltd,Captain Steel India Ltd [100.0%],India,Asia Pacific,West Bengal,22.855859,87.345018,approximate,announced,1,0.0,0.0,0.0,,,,,Iron other/unspecified; Steel other/unspecified,unknown,https://www.gem.wiki/Captain_Steel_Garbeta_steel_plant
P100000120984,Cascade Steel Rolling Mills,Cascade Steel Rolling Mills Inc,Radius Recycling Inc [100.0%],United States,North America,Oregon,45.228035,-123.163599,exact,operating,1,58.0,860.0,0.0,,,,,EAF,280,https://www.gem.wiki/Cascade_Steel_Rolling_Mills
P100000120892,Cebitas steel plant,Çebitaş Demir Çelik Endüstrisi AŞ,Çebitaş Demir Çelik Endüstrisi AŞ [100.0%],Türkiye,Europe,İzmir,38.74074,26.951743,exact,operating,1,37.0,860.0,0.0,,,,,EAF,450,https://www.gem.wiki/Cebitas_steel_plant
P100000120456,Celsa Barcelona Castellbisbal steel plant,Compania Espanola de Laminacion SL,Anchorage Capital Advisors LP; Anchorage Capital Group LLC; Attestor Services Ltd; Deutsche Bank AG; GoldenTree Asset Management LP; Midwood Holdings LLC; Strategic Value Partners LLC,Spain,Europe,Barcelona,41.454855,1.980107,exact,operating,1,69.0,2500.0,0.0,,,,,EAF,850,https://www.gem.wiki/Celsa_Barcelona_Castellbisbal_steel_plant
P100000120474,Celsa France Boucau steel plant,Celsa France SAS,Anchorage Capital Advisors LP; Anchorage Capital Group LLC; Attestor Services Ltd; Deutsche Bank AG; GoldenTree Asset Management LP; Midwood Holdings LLC; Strategic Value Partners LLC,France,Europe,Nouvelle-Aquitaine,43.529693,-1.500971,exact,operating,1,61.0,1200.0,0.0,,,,,EAF,311,https://www.gem.wiki/Celsa_France_Boucau_steel_plant
P100000120462,Celsa Global Steel Wire Santander plant,Global Steel Wire SA,Anchorage Capital Advisors LP; Anchorage Capital Group LLC; Attestor Services Ltd; Deutsche Bank AG; GoldenTree Asset Management LP; Midwood Holdings LLC; Strategic Value Partners LLC,Spain,Europe,Cantabria,43.445344,-3.839228,exact,operating,1,127.0,750.0,0.0,,,,,EAF,650,https://www.gem.wiki/Celsa_Global_Steel_Wire_Santander_plant
P100000120788,Celsa Huta Ostrowiec steel plant,Celsa Huta Ostrowiec SP zoo,Anchorage Capital Advisors LP; Anchorage Capital Group LLC; Attestor Services Ltd; Deutsche Bank AG; GoldenTree Asset Management LP; Midwood Holdings LLC; Strategic Value Partners LLC,Poland,Europe,Świętokrzyskie,50.947305,21.448763,exact,operating,1,213.0,1220.0,0.0,,,,,EAF,1804,https://www.gem.wiki/Celsa_Huta_Ostrowiec_steel_plant
P100000120467,Celsa Nervacero steel plant,Nervacero SA,Anchorage Capital Advisors LP; Anchorage Capital Group LLC; Attestor Services Ltd; Deutsche Bank AG; GoldenTree Asset Management LP; Midwood Holdings LLC; Strategic Value Partners LLC,Spain,Europe,Vizcaya,43.30806,-3.026309,exact,operating,1,55.0,1000.0,0.0,,,,,EAF,330,https://www.gem.wiki/Celsa_Nervacero_steel_plant
P100000120784,Century Steel Khyber plant,Century Steel Pte Ltd,Century Steel Pte Ltd [100.0%],Pakistan,Asia Pacific,Khyber Pakhtunkhwa,34.072714,72.141584,exact,construction,2,,0.0,0.0,,,,,Steel other/unspecified; Iron other/unspecified,1000,https://www.gem.wiki/Century_Steel_Khyber_plant
P100000120690,Ch'ollima Steel Complex steel plant,Government of North Korea,Government of North Korea [100.0%],North Korea,Asia Pacific,South Pyongan,38.926348,125.582628,exact,operating,2,70.0,752.0,0.0,,,,,EAF,8000,https://www.gem.wiki/Ch'ollima_Steel_Complex_steel_plant
P100000120687,Ch'ŏngjin Ironworks steel plant,Government of North Korea,Government of North Korea [100.0%],North Korea,Asia Pacific,North Hamgyeong,41.777936,129.792399,exact,operating,1,84.0,2000.0,1699.0,,,,,BF; BOF; DRI; EAF,unknown,https://www.gem.wiki/Ch'ŏngjin_Ironworks_steel_plant
P100000121225,Chadormalu Mining and Industrial Company Yazd steel plant,Chadormalu Mining & Industrial Co,Chadormalu Mining & Industrial Co [100.0%],Iran,Middle East,Yazd,32.387328,53.747706,exact,operating,1,9.0,1200.0,1586.0,,,,4000.0,DRI; EAF,unknown,https://www.gem.wiki/Chadormalu_Mining_and_Industrial_Company_Yazd_steel_plant
P100001023452,Chan May green steel plant,unknown,unknown [100.0%],Vietnam,Asia Pacific,Thua Thien-Hue,16.3354,108.0248,approximate,announced,1,,0.0,0.0,,,,,Steel other/unspecified,unknown,https://www.gem.wiki/Chan_May_green_steel_plant
P100001064089,Changli Xingguo Precision Machinery Co Ltd,Changli Xingguo Precision Machinery Co Ltd,Changli Xingguo Precision Machinery Co Ltd [100.0%],China,Asia Pacific,Hebei,39.704921,118.897417,exact,operating,1,30.47,0.0,1100.0,,,,,BF,840,https://www.gem.wiki/Changli_Xingguo_Precision_Machinery_Co_Ltd
P100000120194,Changshu Longteng Special Steel Co Ltd,Changshu Longteng Special Steel Co Ltd,Changshu Longteng Special Steel Co Ltd [100.0%],China,Asia Pacific,Jiangsu,31.723833,120.835685,exact,operating,2,31.75,3203.0,1040.0,,,,,BF; BOF; EAF,3469,https://www.gem.wiki/Changshu_Longteng_Special_Steel_Co_Ltd
P100000120265,Changzhi Xingbao Steel Co Ltd,Lucheng Xingbao Iron & Steel Co Ltd,Lucheng Xingbao Iron & Steel Co Ltd [100.0%],China,Asia Pacific,Shanxi,36.332449,113.15509,exact,operating,1,22.85,1900.0,1370.0,,,,,BF; BOF,1154,https://www.gem.wiki/Changzhi_Xingbao_Steel_Co_Ltd
P100000120201,Changzhou Eastern Special Steel Co Ltd,Changzhou Dongfang Special Steel Co Ltd,Changzhou Dongrun Special Steel Co Ltd [90.0%]; natural person(s) [10.0%],China,Asia Pacific,Jiangsu,31.602554,119.724256,exact,operating,2,16.09,3300.0,1560.0,,,,,EAF; BF; BOF,2589,https://www.gem.wiki/Changzhou_Eastern_Special_Steel_Co_Ltd
P100000120986,Charter Steel Cleveland plant,Charter Manufacturing Co Inc,Charter Manufacturing Co Inc [100.0%],United States,North America,Ohio,41.443147,-81.659911,exact,operating,1,20.0,635.0,0.0,,,,,EAF,410,https://www.gem.wiki/Charter_Steel_Cleveland_plant
P100000120985,Charter Steel Saukville plant,Charter Manufacturing Co Inc,Charter Manufacturing Co Inc [100.0%],United States,North America,Wisconsin,43.400533,-87.9482,exact,operating,1,35.0,570.0,0.0,,,,,EAF,345,https://www.gem.wiki/Charter_Steel_Saukville_plant
P100000120105,Chengde Iron and Steel Group Co Ltd,Chengde Street Ltd,HBIS Group Co Ltd [100.0%],China,Asia Pacific,Hebei,40.947707,117.719747,exact,operating,1,72.0,8000.0,8106.0,,,,,BF; BOF,12588,https://www.gem.wiki/Chengde_Iron_and_Steel_Group_Co_Ltd
P100000120123,Chengde Jianlong Special Steel Co Ltd,Chengde Jianlong SPECIAL Steel Co Ltd,Beijing Jianlong Investment Co Ltd [90.2%]; unknown [9.8%],China,Asia Pacific,Hebei,40.515035,117.596071,exact,operating,1,25.0,4400.0,2191.0,,1232.0,,573.0,BF; BOF,3834,https://www.gem.wiki/Chengde_Jianlong_Special_Steel_Co_Ltd
P100000120154,Chengde Shengfeng Iron and Steel Co Ltd,Chengde Shengfeng Iron & Steel Co Ltd,Chengde Shengfeng Iron & Steel Co Ltd [100.0%],China,Asia Pacific,Hebei,40.622466,118.490845,exact,retired,1,17.0,0.0,0.0,,,,,BF; BOF,50,https://www.gem.wiki/Chengde_Shengfeng_Iron_and_Steel_Co_Ltd
P100000120153,Chengde Zhaofeng Steel Group Co Ltd,Chengde Zhaofeng Steel Group Co Ltd,Chengde Zhaofeng Steel Group Co Ltd [100.0%],China,Asia Pacific,Hebei,40.593875,118.633334,exact,retired,1,19.0,0.0,0.0,,,,10000.0,BF; BOF,171,https://www.gem.wiki/Chengde_Zhaofeng_Steel_Group_Co_Ltd
P100000120329,Chengdu Changfeng Iron and Steel Group Co Ltd,Chengdu Changfeng Steel Group Co Ltd,Chengdu Changfeng Steel Group Co Ltd [100.0%],China,Asia Pacific,Sichuan,31.031921,103.672956,exact,operating,2,56.0,1500.0,0.0,,,,,EAF,1020,https://www.gem.wiki/Chengdu_Changfeng_Iron_and_Steel_Group_Co_Ltd
P100000120279,Chengyu Vanadium and Titanium Technology Co Ltd,Chengyu Vanadium & Titanium Technology Co Ltd,Grand Royal Co Ltd [45.2%]; Sichuan Jintong Investment Co Ltd [14.0%]; unknown [11.7%]; Sichuan Chuanwei Group Co Ltd Labor Union [9.5%]; Sichuan Chuanwei Group Co Ltd [8.6%]; Sichuan Yiweili Investment Co Ltd [6.0%]; Weiyuan Tianyue Enterprise Management Co Ltd [5.0%],China,Asia Pacific,Sichuan,29.732143,104.504339,exact,operating,3,19.46,6050.0,5000.0,,,1100.0,,BF; BOF; EAF,5350,https://www.gem.wiki/Chengyu_Vanadium_and_Titanium_Technology_Co_Ltd
P100000120183,Chifeng Yuanlian Steel Co Ltd,Chifeng Yuanlian Steel Co Ltd,Tangshan Jiaqi International Trade Co Ltd [90.0%]; Chifeng Yuanjian Iron and Steel Industry Co Ltd [10.0%],China,Asia Pacific,Inner Mongolia,42.278115,119.015289,exact,operating,1,23.53,2450.0,2310.0,,,,,BF; BOF,4407,https://www.gem.wiki/Chifeng_Yuanlian_Steel_Co_Ltd
P100000120327,Chifeng Zhongtang Special Steel Co Ltd,Chifeng Zhongtang Special Steel Co Ltd,Tangshan Jinma Iron & Steel Group Co Ltd [83.7%]; Hainan Mingbo Investment Co Ltd [16.0%]; unknown [0.3%],China,Asia Pacific,Inner Mongolia,41.834064,119.281883,exact,operating,1,4.0,2700.0,2740.0,,,,,BF; BOF,unknown,https://www.gem.wiki/Chifeng_Zhongtang_Special_Steel_Co_Ltd
P100000120686,China Baowu Phnom Penh steel plant,Xinjiang Bayi Steel Southern Xinjiang Steel Baicheng Co Ltd,China Baowu Steel Group Co Ltd [100.0%],Cambodia,Asia Pacific,Phnom Penh,11.56703,104.863893,approximate,cancelled,1,,0.0,0.0,,,,,BF; BOF,unknown,https://www.gem.wiki/China_Baowu_Phnom_Penh_steel_plant
P100000120897,China Steel Xiaogang steel plant,China Steel Corp,China Steel Corp [100.0%],Taiwan,Asia Pacific,Kaohsiung,22.555442,120.349252,exact,operating,3,55.0,10000.0,11020.0,,,,,BF; BOF; EAF,17434,https://www.gem.wiki/China_Steel_Xiaogang_steel_plant
P100000121041,Chizhou Guichi Guihang Metal Products Co Ltd,Chizhou Guichi Guihang Metal Products Co Ltd,Chizhou Guichi Guihang Metal Products Co Ltd [100.0%],China,Asia Pacific,Anhui,30.532786,117.25166,exact,operating,2,26.0,1000.0,0.0,,,,,EAF,247,https://www.gem.wiki/Chizhou_Guichi_Guihang_Metal_Products_Co_Ltd
P100000120286,Chongli Steel Manufacturing Co Ltd,Chongli Steel Manufacturing Co Ltd,British Asia Pan Ruogen International Co Ltd [59.2%]; unknown [40.8%],China,Asia Pacific,Hebei,36.602468,113.755744,exact,retired,1,14.0,0.0,0.0,,800.0,,,BF; BOF,2711,https://www.gem.wiki/Chongli_Steel_Manufacturing_Co_Ltd
P100000120074,Chongqing Iron and Steel Co Ltd,Chongqing Iron & Steel Co Ltd,Chongqing Iron & Steel Co Ltd [100.0%],China,Asia Pacific,Chongqing,29.790253,107.040368,exact,operating,1,29.0,8400.0,9735.0,,,,,BF; BOF,5341,https://www.gem.wiki/Chongqing_Iron_and_Steel_Co_Ltd
P100001064274,Chongqing Pengcheng Steel Co Ltd,Chongqing Pengcheng Steel Co Ltd,Chongqing Pengcheng Steel Co Ltd [100.0%],China,Asia Pacific,Chongqing,29.259699,106.214031,approximate,operating,1,27.67,520.0,0.0,,,,,EAF,285,https://www.gem.wiki/Chongqing_Pengcheng_Steel_Co_Ltd
P100000120409,Chongqing Yonghang Steel Group Co Ltd,Chongqing Yonghang Steel Group Co Ltd,Chongqing Yonghang Steel Group Co Ltd [100.0%],China,Asia Pacific,Chongqing,29.836163,106.988138,exact,operating,1,23.0,700.0,0.0,,,,,EAF,241,https://www.gem.wiki/Chongqing_Yonghang_Steel_Group_Co_Ltd
P100001064279,Chongqing Yuxi Iron & Steel (Group) Co Ltd,Chongqing Yuxi Iron & Steel (Group) Co Ltd,Chongqing Yuxi Iron & Steel (Group) Co Ltd [100.0%],China,Asia Pacific,Chongqing,29.488759,105.862658,exact,operating,1,25.97,260.0,1000.0,,,,,BF; EAF,1000,https://www.gem.wiki/Chongqing_Yuxi_Iron_&_Steel_(Group)_Co_Ltd
P100000120317,Chongqing Zuhang Iron and Steel Co Ltd,Chongqing Zuhang Steel Co Ltd,Chongqing Zuhang Steel Co Ltd [100.0%],China,Asia Pacific,Chongqing,29.440056,105.741929,exact,operating pre-retirement,2,18.0,1010.0,0.0,,,,,EAF,463,https://www.gem.wiki/Chongqing_Zuhang_Iron_and_Steel_Co_Ltd
P100000121168,Chow Steel Kabinburi steel plant,Chow Steel Industries PCL,Chow Steel Industries PCL [100.0%],Thailand,Asia Pacific,Prachinburi,14.074757,101.84215,exact,operating,1,21.0,730.0,0.0,,,,,IF,unknown,https://www.gem.wiki/Chow_Steel_Kabinburi_steel_plant
P100000120683,Chubu Steel Plate Nagoya plant,Chubu Steel Plate Co Ltd,Chubu Steel Plate Co Ltd [100.0%],Japan,Asia Pacific,Chūbu,35.118836,136.867567,exact,operating,2,67.0,800.0,0.0,,,,,EAF,372,https://www.gem.wiki/Chubu_Steel_Plate_Nagoya_plant
P100000120923,Cleveland-Cliffs Burns Harbor steel plant,Cleveland-Cliffs Inc,Cleveland-Cliffs Inc [100.0%],United States,North America,Indiana,41.631221,-87.143846,exact,operating,1,62.0,5001.0,4960.0,,2800.0,1877.0,,BF; BOF,4039,https://www.gem.wiki/Cleveland-Cliffs_Burns_Harbor_steel_plant
P100000120919,Cleveland-Cliffs Butler steel plant,Cleveland-Cliffs Inc,Cleveland-Cliffs Inc [100.0%],United States,North America,Pennsylvania,40.845524,-79.921452,exact,operating,1,118.0,908.0,0.0,,,,,EAF,1300,https://www.gem.wiki/Cleveland-Cliffs_Butler_steel_plant
P100000120927,Cleveland-Cliffs Cleveland steel plant,Cleveland-Cliffs Inc,Cleveland-Cliffs Inc [100.0%],United States,North America,Ohio,41.464041,-81.676499,exact,operating,1,113.0,4100.0,2810.0,,,,,BF; BOF,2100,https://www.gem.wiki/Cleveland-Cliffs_Cleveland_steel_plant
P100000120924,Cleveland-Cliffs Coatesville steel plant,Cleveland-Cliffs Inc,Cleveland-Cliffs Inc [100.0%],United States,North America,Pennsylvania,39.977819,-75.824512,exact,operating,1,216.0,800.0,0.0,,,,,EAF,754,https://www.gem.wiki/Cleveland-Cliffs_Coatesville_steel_plant
P100000120920,Cleveland-Cliffs Dearborn steel plant,Cleveland-Cliffs Inc,Cleveland-Cliffs Inc [100.0%],United States,North America,Michigan,42.308171,-83.161353,exact,mothballed,1,106.0,0.0,0.0,,,,,BF; BOF,581,https://www.gem.wiki/Cleveland-Cliffs_Dearborn_steel_plant
P100000120926,Cleveland-Cliffs Indiana Harbor steel plant,Cleveland-Cliffs Inc,Cleveland-Cliffs Inc [100.0%],United States,North America,Indiana,41.669553,-87.438429,exact,operating,2,125.0,6800.0,4200.0,,2300.0,,,BF; BOF; EAF,3431,https://www.gem.wiki/Cleveland-Cliffs_Indiana_Harbor_steel_plant
P100000120061,Cleveland-Cliffs Lake Erie steel plant,Cleveland-Cliffs Inc,Cleveland-Cliffs Inc [100.0%],Canada,North America,Ontario,42.805448,-80.095313,exact,operating,1,46.0,2500.0,2400.0,,,650.0,,BF; BOF,1250,https://www.gem.wiki/Cleveland-Cliffs_Lake_Erie_steel_plant
P100000120971,Cleveland-Cliffs Mansfield Works,Cleveland-Cliffs Inc,Cleveland-Cliffs Inc [100.0%],United States,North America,Ohio,40.790123,-82.526239,exact,operating,1,102.0,546.0,0.0,,,,,EAF,413,https://www.gem.wiki/Cleveland-Cliffs_Mansfield_Works
P100000120921,Cleveland-Cliffs Middletown steel plant,Cleveland-Cliffs Inc,Cleveland-Cliffs Inc [100.0%],United States,North America,Ohio,39.488589,-84.386197,exact,operating,2,125.0,3000.0,2090.0,,,,,BOF; DRI; BF,2363,https://www.gem.wiki/Cleveland-Cliffs_Middletown_steel_plant
P100000120922,Cleveland-Cliffs Riverdale steel plant,Cleveland-Cliffs Inc,Cleveland-Cliffs Inc [100.0%],United States,North America,Illinois,41.657321,-87.625702,exact,mothballed,1,109.0,0.0,0.0,,,,,BOF,305,https://www.gem.wiki/Cleveland-Cliffs_Riverdale_steel_plant
P100000120925,Cleveland-Cliffs Steelton steel plant,Cleveland-Cliffs Inc,Cleveland-Cliffs Inc [100.0%],United States,North America,Pennsylvania,40.23072,-76.838506,exact,retired,1,160.0,0.0,0.0,,,,,EAF,577,https://www.gem.wiki/Cleveland-Cliffs_Steelton_steel_plant
P100000120969,Cleveland-Cliffs Toledo DRI plant,Cleveland-Cliffs Inc,Cleveland-Cliffs Inc [100.0%],United States,North America,Ohio,41.672816,-83.477833,exact,operating,1,6.0,0.0,1900.0,,,,,DRI,166,https://www.gem.wiki/Cleveland-Cliffs_Toledo_DRI_plant
P100000120991,CMC Alabama steel plant,Commercial Metals Co,Commercial Metals Co [100.0%],United States,North America,Alabama,33.534372,-86.75773,exact,operating,1,32.0,653.0,0.0,,,,,EAF,409,https://www.gem.wiki/CMC_Alabama_steel_plant
P100000120994,CMC Arizona steel plant,Commercial Metals Co,Commercial Metals Co [100.0%],United States,North America,Arizona,33.285828,-111.586561,exact,operating,1,17.0,890.0,0.0,,,,,EAF,558,https://www.gem.wiki/CMC_Arizona_steel_plant
P100000120992,CMC South Carolina steel plant,Commercial Metals Co,Commercial Metals Co [100.0%],United States,North America,South Carolina,33.962272,-81.052011,exact,operating,1,34.0,776.0,0.0,,,,,EAF,487,https://www.gem.wiki/CMC_South_Carolina_steel_plant
P100000120989,CMC Steel Florida plant,Commercial Metals Co,Commercial Metals Co [100.0%],United States,North America,Florida,30.282907,-81.978735,exact,operating,1,52.0,617.0,0.0,,,,,EAF,387,https://www.gem.wiki/CMC_Steel_Florida_plant
P100000120990,CMC Steel New Jersey plant,Commercial Metals Co,Commercial Metals Co [100.0%],United States,North America,New Jersey,40.478824,-74.321187,exact,operating,1,32.0,653.0,0.0,,,,,EAF,426,https://www.gem.wiki/CMC_Steel_New_Jersey_plant
P100000120929,CMC Steel Texas plant,Commercial Metals Co,Commercial Metals Co [100.0%],United States,North America,Texas,29.577459,-98.032017,exact,operating,1,44.0,943.0,0.0,,,,,EAF,591,https://www.gem.wiki/CMC_Steel_Texas_plant
P100000120993,CMC Tennessee steel plant,Commercial Metals Co,Commercial Metals Co [100.0%],United States,North America,Tennessee,35.978104,-83.956572,exact,operating,1,26.0,544.0,0.0,,,,,EAF,933,https://www.gem.wiki/CMC_Tennessee_steel_plant
P100001061378,CMC West Virginia steel plant,Commercial Metals Co,Commercial Metals Co [100.0%],United States,North America,West Virginia,39.5515843,-77.897771,exact,construction,1,1.0,0.0,0.0,,,,,EAF,230,https://www.gem.wiki/CMC_West_Virginia_steel_plant
P100000120787,CMC Zawiercie steel plant,CMC Poland SP zoo,Commercial Metals Co [100.0%],Poland,Europe,Silesia,50.487463,19.456759,exact,operating,1,125.0,1700.0,0.0,,,,,EAF,2000,https://www.gem.wiki/CMC_Zawiercie_steel_plant
P100000120503,CNR Mandan Steel South Kalimantan plant,PT Mandan Steel,CNR Group Holdings Pte Ltd [99.9%]; small shareholder(s) [0.1%],Indonesia,Asia Pacific,South Kalimantan,-3.339296,115.927125,approximate,operating,1,12.0,1000.0,1000.0,,,,,BF; BOF,unknown,https://www.gem.wiki/CNR_Mandan_Steel_South_Kalimantan_plant
P100000120867,Colakoglu Metallurgical Dilovasi steel plant,Çolakoğlu Metalürji AŞ,Çolakoğlu Metalürji AŞ [100.0%],Türkiye,Europe,Kocaeli,40.768409,29.529979,exact,operating,1,57.0,4500.0,0.0,,,,,EAF,unknown,https://www.gem.wiki/Colakoglu_Metallurgical_Dilovasi_steel_plant
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,Companhia Siderurgica do Cuchi SA,Ferrangoland; Modulax Industria E Comercio Ltda,Angola,Africa,Cuando Cubango,-14.650166,16.925606,exact,operating,2,2.47,0.0,96.0,,,,,BF,1200,https://www.gem.wiki/Companhia_Siderurgica_do_Cuchi_pig_iron_plant
P100001045282,Crest Steel and Power Mangatta steel plant,Crest Steel and Power Pvt Ltd,Atha Group [47.5%]; Ghanashyam Misra & Sons Pvt Ltd [47.5%],India,Asia Pacific,Chhattisgarh,21.190313,81.19922,exact,operating,4,21.13,96.0,232.0,,,,1400.0,DRI; IF; BF; EAF,2500,https://www.gem.wiki/Crest_Steel_and_Power_Mangatta_steel_plant
P100000120434,CSN Stahlwerk Thüringen Unterwellenborn steel plant,Stahlwerk Thueringen GmbH,Companhia Siderúrgica Nacional SA [100.0%],Germany,Europe,Thuringia,50.654574,11.43745,exact,operating,1,148.0,1100.0,0.0,,,,,EAF,700,https://www.gem.wiki/CSN_Stahlwerk_Thüringen_Unterwellenborn_steel_plant
P100000120039,CSN Volta Redonda steel plant,Companhia Siderúrgica Nacional SA,Companhia Siderúrgica Nacional SA [100.0%],Brazil,Central & South America,Rio de Janeiro,-22.512631,-44.11287,exact,operating,1,80.0,6251.0,5580.0,,6930.0,1680.0,,BF; BOF; EAF,15518,https://www.gem.wiki/CSN_Volta_Redonda_steel_plant
P100000121010,CVG Briquetera de Venezuela DRI plant,Matesi,Matesi [100.0%],Venezuela,Central & South America,Bolívar,8.300159,-62.780136,exact,mothballed,1,26.0,0.0,0.0,,,,,DRI,130,https://www.gem.wiki/CVG_Briquetera_de_Venezuela_DRI_plant
P100000121008,CVG Briquetera del Caroní DRI plant,Corporacion Venezolana de Guayana,Corporacion Venezolana de Guayana [100.0%],Venezuela,Central & South America,Bolívar,8.290142,-62.805419,exact,operating,1,35.23,0.0,820.0,,,,,DRI,456,https://www.gem.wiki/CVG_Briquetera_del_Caroní_DRI_plant
P100000121007,CVG Briquetera del Orinoco DRI plant,Briquetera del Orinoco CA,Briquetera del Orinoco CA [100.0%],Venezuela,Central & South America,Bolívar,8.274965,-62.819282,exact,operating,1,26.0,0.0,2200.0,,,,,DRI,1150,https://www.gem.wiki/CVG_Briquetera_del_Orinoco_DRI_plant
P100000121005,CVG Comsigua DRI plant,Complejo Siderurgico de Guayana CA,Complejo Siderurgico de Guayana CA [100.0%],Venezuela,Central & South America,Bolívar,8.297662,-62.780149,exact,operating,1,28.0,0.0,1000.0,,,,,DRI,353,https://www.gem.wiki/CVG_Comsigua_DRI_plant
P100000121006,CVG Ferrominera Orinoco DRI plant,CVG Ferrominera Orinoco CA,Corporación Siderúrgica de Venezuela SA,Venezuela,Central & South America,Bolívar,8.33468,-62.728842,exact,operating,1,36.0,0.0,1000.0,,,,,DRI,unknown,https://www.gem.wiki/CVG_Ferrominera_Orinoco_DRI_plant
